id,record_id,pub_id,contrib_id,user_id,record_title,last_edited,year,month,day,status,review_type,reviewed_book_title,reviewed_book_pub_date,reviewed_book_publisher,reviewed_book_publisher_viaf_match,reviewed_book_genre,reviewed_book_price,reviewed_author_viaf_match,reviewed_author_name
393,124744486,24243,58,1,"II ARTHUR SYMONS'S ""THE ROMANTIC MOVEMENT IN ENGLISH POETRY""",2020-02-01,1910,NULL,NULL,done,single_focus,"The Romantic Movement in English Poetry",1910,"E.P. Dutton and Company",http://viaf.org/viaf/266034617,Nonfiction,,http://viaf.org/viaf/61558452,"Arthur Symons"
402,136143241,35593,NULL,2,MISCELLANEOUS,2020-02-11,1909,NULL,NULL,done,multi,,,,NULL,,,,
409,136739171,35616,NULL,1,"BOOKS AND AUTHORS.",2020-02-02,1886,NULL,NULL,done,multi,,,,NULL,,,,
418,124451296,24237,61,1,"THE LAND OF THE MUSKEG.",2020-02-02,1896,NULL,NULL,done,single_focus,"The Land of the Muskeg",1896,"J.B. Lippincott",http://viaf.org/viaf/265495543,Nonfiction,$4,http://viaf.org/viaf/104476841,"H. Somers Somerset"
436,128376070,51372,NULL,4,"Review 1 -- No Title",2020-02-19,1910,NULL,NULL,done,cluster,,,,,,,,
473,124914654,24238,NULL,1,Music,2020-02-02,1882,NULL,NULL,done,single_focus,"Life and Letters of Berlioz",1882,"Scribner & Welford",http://viaf.org/viaf/129466493,"Nonfiction - autobiographical",$6,"http://viaf.org/viaf/71577105; http://viaf.org/viaf/44392428","Hector Berlioz; Daniel Bernard; H.M. Dunstan"
484,137580997,25257,NULL,4,"Review 1 -- No Title",2020-02-19,1888,NULL,NULL,done,cluster,,,,,,,,
490,125272017,24208,NULL,1,"Review 4 -- No Title",2020-01-31,1902,NULL,NULL,done,brief,"The Pastoral Epistles",1901,"T. and T. Clark; Charles Scribner's Sons",NULL,Nonfiction,"75 cents","http://viaf.org/viaf/100190632; http://viaf.org/viaf/181918505/","Marcus Dods; Alexander Whyte"
491,127446458,24380,NULL,2,"OUR BOOK TABLE",2020-02-11,1899,NULL,NULL,done,single_focus,"The Break-Up of China",1899,"Harper & Brothers: New York",http://viaf.org/viaf/122099855,Nonfiction,,http://viaf.org/viaf/15709462,"Lord Charles Beresford, M.P."
498,90390994,35437,NULL,4,"ST. TERESA.",2020-02-19,1894,NULL,NULL,done,single_focus,"Santa Teresa",1894,"Adam & Charles Black",http://viaf.org/viaf/123220463,Nonfiction,,http://viaf.org/viaf/54118500,"Gabriela Cunninghame Graham"
507,124688361,24531,NULL,1,"STRESSES IN FRAMED STRUCTURES",2020-02-02,1924,NULL,NULL,done,single_focus,"Stresses in Framed Structures",1924,McGraw-Hill,NULL,Nonfiction,$5.00,,
508,89676052,25244,75,1,"Enrico Ferri",2020-02-02,1917,NULL,NULL,done,single_focus,"Criminal Sociology",1917,"Little, Brown & Co.",http://viaf.org/viaf/144240696,Nonfiction,$5,http://viaf.org/viaf/64138905,"Enrico Ferri"
510,136967124,35617,NULL,2,"Literary Notes",2020-02-11,1897,NULL,NULL,done,not_review,,,,NULL,,,,
513,136966110,35617,NULL,1,"NEW EDITIONS",2020-02-01,1897,NULL,NULL,done,not_review,,,,NULL,,,,
520,90649438,24566,76,1,"Two Serious Efforts",2020-02-02,1922,NULL,NULL,done,multi,,,,NULL,,,,
524,90099356,25067,NULL,1,DOROTHY.,2020-02-01,1882,NULL,NULL,done,single_focus,"Dorothy. A Country Story",1882,"Roberts Brothers",http://viaf.org/viaf/146678246,Poetry,$1.25,http://viaf.org/viaf/52617317,"A. J. Munby"
526,136758573,24702,79,3,"Review 20 -- No Title",2020-02-11,1894,NULL,NULL,done,single_focus,"A Year Among the Persians",1894,"Macmillan & Company",http://viaf.org/viaf/140726562,Nonfiction,,http://viaf.org/viaf/29651479,"Edward G Browne"
529,89664544,25244,NULL,1,"The Peasant's War.",2020-02-02,1900,NULL,NULL,done,single_focus,"The Peasant's War in Germany",1900,Macmillan,http://viaf.org/viaf/140726562,Nonfiction,,http://viaf.org/viaf/64021535,"E. Belfast Bax"
