id,record_id,pub_id,contrib_id,user_id,record_title,last_edited,year,month,day,status,review_type,reviewed_book_title,reviewed_book_pub_date,reviewed_book_publisher,reviewed_book_publisher_viaf_match,reviewed_book_genre,reviewed_book_price,reviewed_author_viaf_match,reviewed_author_name
4,124389519,41500,NULL,4,Japan,2020-03-11,1924,NULL,NULL,needs_crosscheck,not_review,,,,,,,,
7,126946588,25449,NULL,4,"Other Publications",2020-02-19,1894,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
8,124733988,24243,2,4,"THE SKETCH BOOK",2020-02-24,1923,NULL,NULL,needs_crosscheck,not_review,,,,,,,,
9,125547097,24807,NULL,4,"Robinson's ""Wild Garden.""",2020-02-19,1882,NULL,NULL,needs_crosscheck,single_focus,"The Wild Garden",,"Scribner & Welford",http://viaf.org/viaf/129466493,Nonfiction,,http://viaf.org/viaf/69817840,"W. Robinson"
10,136971619,35617,NULL,4,"A Little Old World",2020-02-19,1907,NULL,NULL,needs_crosscheck,single_focus,"The Patriot ",,"G.P. Putnam's Sons",http://viaf.org/viaf/295600056,Fiction,$1.50,http://viaf.org/viaf/39408145,"Antonio Fogazzaro"
13,124907408,24241,NULL,4,"A Western Volapuk",2020-03-11,1890,NULL,NULL,needs_crosscheck,single_focus,"A Manual of the Oregon Trade Language, or Chinook Jargon",,"Scribner & Welford",http://viaf.org/viaf/129466493,"Nonfiction - reference",$1.50,http://viaf.org/viaf/59157153,"Horatio Hale"
14,853431328,106040,NULL,4,"NEW BOOKS",2020-02-20,1905,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
15,89674030,25244,3,4,"A LEADER IN CONSTRUCTIVE AMERICANISM.",2020-02-20,1916,NULL,NULL,needs_crosscheck,multi,,,,,,,,
16,128063552,41292,NULL,4,"LITERARY NOTES",2020-02-24,1890,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
21,89768172,24090,NULL,4,"THE LIE.",2020-03-17,1900,NULL,NULL,needs_crosscheck,not_review,,,,,,,,
24,136262693,26663,NULL,4,"Notes About New Books",2020-02-20,1900,NULL,NULL,needs_crosscheck,multi,,,,,,,,
28,127965289,35539,NULL,4,"BOOK NOTICES.",2020-02-19,1882,NULL,NULL,needs_crosscheck,not_review,,,,,,,,
30,124497140,24200,NULL,4,"Review 1 -- No Title",2020-02-20,1895,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
33,574725053,54317,NULL,4,"BOOKS RECEIVED",2020-03-17,1883,NULL,NULL,needs_crosscheck,not_review,,,,,,,,
34,136872320,24230,NULL,4,REVIEWS.,2020-02-17,1897,NULL,NULL,needs_crosscheck,single_focus,"The Practice of Medicine",1897,"J.B. Lippincott Co.",http://viaf.org/viaf/265495543,Nonfiction,,http://viaf.org/viaf/56173805,"Horatio C. Wood"
35,90374186,24565,NULL,4,"Review 1 -- No Title",2020-02-20,1890,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
38,125724646,24994,NULL,4,"Review 41 -- No Title",2020-02-20,1908,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
39,753990033,54317,NULL,4,MAGAZINES,2020-03-11,1890,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
40,127091460,35116,NULL,4,"NEW BOOKS WORTH READING",2020-02-17,1899,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
41,136412545,35594,NULL,4,"Review 1 -- No Title",2020-02-17,1885,NULL,NULL,needs_crosscheck,multi,,,,NULL,,,,
42,90142613,25067,NULL,4,"THE GADFLY.",2020-02-20,1897,NULL,NULL,needs_crosscheck,single_focus,"The Gadfly",,"Henry Holt & Co.",http://viaf.org/viaf/126775354,"Fiction - novel",$1.25,http://viaf.org/viaf/67276863,"E. L. Voynich"
43,124217248,26206,NULL,4,MISCELLANEOUS.,2020-02-19,1895,NULL,NULL,needs_crosscheck,multi,,,,,,,,
46,90537156,24565,NULL,4,"The City: The Hope of Democracy",2020-02-20,1905,NULL,NULL,needs_crosscheck,single_focus,"The City: The Hope of Democracy",,"Charles Scribner's Sons",http://viaf.org/viaf/121555288,"Nonfiction - academic/pseudo-academic",$1.50,http://viaf.org/viaf/52061425,"Frederic C. Howe"
48,124181252,26207,NULL,4,HISTORY,2020-02-18,1902,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
49,89668273,25244,NULL,4,"Review 2 -- No Title",2020-02-19,1904,NULL,NULL,needs_crosscheck,multi,,,,,,,,
51,127983729,35539,NULL,4,"Review 5 -- No Title",2020-02-20,1880,NULL,NULL,needs_crosscheck,not_review,,,,,,,,
52,124527676,24584,NULL,4,"The Quick or the Dead,",2020-03-16,1888,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
56,88797650,40147,NULL,4,"NEW BOOKS",2020-02-19,1914,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
57,89760874,24087,NULL,4,"Review 4 -- No Title",2020-03-16,1884,NULL,NULL,needs_crosscheck,single_focus,"The Creatures of the Age of Steel",,"Charles Scribner's Sons",http://viaf.org/viaf/121555288,"Nonfiction - biographical",,http://viaf.org/viaf/266547693,"W. S. Jeans"
60,126788760,41364,NULL,4,"Review 1 -- No Title",2020-02-20,1899,NULL,NULL,needs_crosscheck,not_review,,,,,,,,
61,882979324,266687,NULL,4,"New Books",2020-02-24,1919,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
63,124153184,26207,NULL,4,"FOR BOYS",2020-03-11,1905,NULL,NULL,needs_crosscheck,cluster,,,,,,,,
