Abbie,4027
Abby,280
Abigail,667
Ada,43157
Adabelle,65
Adah,1455
Adalene,88
Adaline,1160
Adda,619
Addie,20014
Adel,256
Adela,1871
Adelaida,198
Adelaide,7653
Adele,11007
Adelene,253
Adelia,1666
Adelina,948
Adeline,14260
Adell,1960
Adella,1678
Adelle,995
Adelyn,155
Adelyne,77
Adena,57
Ader,164
Adina,93
Adine,63
Adline,567
Adra,95
Adria,77
Adrian,111
Adriana,119
Adrianna,62
Adrienne,1012
Afton,570
Agapita,64
Agatha,2957
Aggie,525
Agnes,78539
Agness,342
Agusta,140
Agustina,121
Aida,674
Aiko,134
Aileen,4044
Aileene,90
Ailene,281
Aili,288
Ailie,96
Aimee,713
Aina,63
Aino,60
Ala,112
Alba,634
Albena,246
Albert,519
Alberta,23369
Albertha,1502
Albertia,81
Albertina,511
Albertine,975
Albie,104
Albina,2543
Albirda,59
Albirta,125
Alcie,190
Alda,1898
Aldea,191
Aldean,56
Aldena,103
Aldene,65
Aldina,73
Aldine,269
Aldona,349
Aldonia,53
Aldora,151
Alean,241
Alease,407
Aleatha,100
Aleda,234
Aleen,443
Aleene,274
Alejandra,88
Alena,230
Alene,1908
Aleta,390
Aletha,1329
Alethea,216
Alethia,255
Aletta,91
Alexander,56
Alexandra,398
Alexandria,340
Alexina,151
Alfa,83
Alfhild,78
Alfred,185
Alfreda,1614
Alfretta,84
Alfrieda,177
Alga,64
Algie,148
Alice,162655
Alicia,1146
Alida,1055
Aliene,221
Aline,4368
Alise,81
Alison,146
Alla,329
Allean,483
Alleen,329
Allegra,176
Allen,220
Allena,157
Allene,2434
Alleyne,78
Allice,71
Allie,10133
Alliene,132
Alline,672
Allison,151
Allyne,180
Alma,56981
Almeda,1926
Almedia,181
Almena,111
Almer,126
Almeta,556
Almeter,75
Almetta,75
Almina,69
Almira,717
Almyra,101
Aloha,102
Alpha,3430
Alphia,81
Alphonsine,70
Alsace,55
Alsie,72
Alta,13438
Altha,1516
Althea,2989
Altie,394
Alton,86
Alva,2665
Alveda,60
Alvena,735
Alvenia,62
Alvera,810
Alverda,432
Alverna,286
Alverta,1047
Alvia,113
Alvie,236
Alvilda,69
Alvin,133
Alvina,4565
Alvine,66
Alvira,375
Alvis,61
Alwilda,147
Alyce,3847
Alyene,51
Alyne,273
Alys,267
Alyse,80
Alzada,109
Alzina,95
Ama,143
Amada,189
Amalia,1111
Amalie,82
Amanda,13718
Amber,674
Amelia,19178
Amelie,135
America,722
Amey,118
Amie,972
Amma,143
Ammie,476
Amparo,132
Amy,12569
Ana,712
Anabel,432
Anastacia,154
Anastasia,1863
Andrea,941
Andrew,149
Aneta,53
Angel,100
Angela,7821
Angele,113
Angelena,141
Angelene,80
Angelica,219
Angelina,9193
Angeline,9539
Angelita,705
Angella,58
Angelyn,96
Angie,3155
Anice,299
Anie,100
Aniela,59
Anise,75
Anita,13260
Ann,56232
Anna,267336
Annabel,1541
Annabell,999
Annabelle,4802
Annah,53
Annalee,173
Annamae,653
Annamarie,198
Annamay,147
Anne,47450
Annelle,72
Anner,478
Annetta,1434
Annette,8092
Annice,390
Annie,120197
Anniebell,104
Anniebelle,54
Annielee,58
Anniemae,193
Annis,1096
Anona,166
Antha,108
Anthony,155
Antionette,471
Antoinetta,159
Antoinette,11518
Antonetta,460
Antonette,1375
Antonia,3335
Antonietta,105
Antoniette,65
Antonina,445
Apolonia,212
Aquilla,103
Ara,926
Arabella,362
Arabelle,181
Arah,125
Araminta,78
Arbie,59
Arbutus,246
Archie,333
Arcola,114
Arda,73
Ardath,418
Ardelia,473
Ardell,635
Ardella,919
Ardelle,304
Ardena,91
Ardeth,113
Ardie,201
Ardis,994
Ardith,568
Ardyce,108
Ardys,139
